region;country;zone;ref;url
south america;barbados;oistins main rd;16169;https://worldcam.eu/webcams/south-america/barbados/16169-oistins-main-rd
south america;argentina;mar del plata sun rider beach;35113;https://worldcam.eu/webcams/south-america/argentina/35113-mar-del-plata-sun-rider-beach
south america;peru;arequipa basilica cathedral;27008;https://worldcam.eu/webcams/south-america/peru/27008-arequipa-basilica-cathedral
south america;guyana;georgetown traffic;29719;https://worldcam.eu/webcams/south-america/guyana/29719-georgetown-traffic
south america;peru;trujillo huanchaco huancarute beach;33007;https://worldcam.eu/webcams/south-america/peru/33007-trujillo-huanchaco-huancarute-beach
south america;brazil;foz do iguacu friendship bridge;25201;https://worldcam.eu/webcams/south-america/brazil/25201-foz-do-iguacu-friendship-bridge
south america;peru;lima miraflores malecon de la marina;35469;https://worldcam.eu/webcams/south-america/peru/35469-lima-miraflores-malecon-de-la-marina
south america;argentina;puan;31639;https://worldcam.eu/webcams/south-america/argentina/31639-puan
south america;uruguay;punta del este playa brava;35474;https://worldcam.eu/webcams/south-america/uruguay/35474-punta-del-este-playa-brava
south america;peru;cusco alejandro velasco astete international airport;30032;https://worldcam.eu/webcams/south-america/peru/30032-cusco-alejandro-velasco-astete-international-airport
south america;brazil;santa helena praca santos dumont praca central;30341;https://worldcam.eu/webcams/south-america/brazil/30341-santa-helena-praca-santos-dumont-praca-central
south america;paraguay;encarnacion sambodromo coast;34657;https://worldcam.eu/webcams/south-america/paraguay/34657-encarnacion-sambodromo-coast
south america;chile;valparaiso panoramic view;27136;https://worldcam.eu/webcams/south-america/chile/27136-valparaiso-panoramic-view
south america;barbados;foster hall tent bay;19661;https://worldcam.eu/webcams/south-america/barbados/19661-foster-hall-tent-bay
south america;brazil;estancia praia dos abais;19752;https://worldcam.eu/webcams/south-america/brazil/19752-estancia-praia-dos-abais
south america;brazil;alta floresta panoramic view;20744;https://worldcam.eu/webcams/south-america/brazil/20744-alta-floresta-panoramic-view
south america;brazil;manhuacu river monitoring system;33166;https://worldcam.eu/webcams/south-america/brazil/33166-manhuacu-river-monitoring-system
south america;brazil;belem panoramic view;9445;https://worldcam.eu/webcams/south-america/brazil/9445-belem-panoramic-view
south america;peru;miraflores la pampilla beach;35134;https://worldcam.eu/webcams/south-america/peru/35134-miraflores-la-pampilla-beach
south america;chile;algarrobo playa yachting;33074;https://worldcam.eu/webcams/south-america/chile/33074-algarrobo-playa-yachting
south america;ecuador;engabao mirador puerto engabao;11672;https://worldcam.eu/webcams/south-america/ecuador/11672-engabao-mirador-puerto-engabao
south america;barbados;bridgetown lower collymore rock rd;17087;https://worldcam.eu/webcams/south-america/barbados/17087-bridgetown-lower-collymore-rock-rd
south america;brazil;ubatuba praia grande;25104;https://worldcam.eu/webcams/south-america/brazil/25104-ubatuba-praia-grande
south america;colombia;el carmen de atrato copper mine;29903;https://worldcam.eu/webcams/south-america/colombia/29903-el-carmen-de-atrato-copper-mine
south america;argentina;el calafate lago argentino;31973;https://worldcam.eu/webcams/south-america/argentina/31973-el-calafate-lago-argentino
south america;argentina;villa gesell bosque historico;33862;https://worldcam.eu/webcams/south-america/argentina/33862-villa-gesell-bosque-historico
south america;brazil;timbe do sul panoramic view;31791;https://worldcam.eu/webcams/south-america/brazil/31791-timbe-do-sul-panoramic-view
south america;brazil;sao mateus traffic;20749;https://worldcam.eu/webcams/south-america/brazil/20749-sao-mateus-traffic
south america;brazil;pomerode alles park;32778;https://worldcam.eu/webcams/south-america/brazil/32778-pomerode-alles-park
south america;barbados;paynes bay beach;16166;https://worldcam.eu/webcams/south-america/barbados/16166-paynes-bay-beach
south america;brazil;porto velho av mamore;32243;https://worldcam.eu/webcams/south-america/brazil/32243-porto-velho-av-mamore
south america;brazil;santos fortaleza de santo amaro da barra grande;2846;https://worldcam.eu/webcams/south-america/brazil/2846-santos-fortaleza-de-santo-amaro-da-barra-grande
south america;barbados;oistins st lawrence gap;16168;https://worldcam.eu/webcams/south-america/barbados/16168-oistins-st-lawrence-gap
south america;ecuador;montanita panorama of the beach;27336;https://worldcam.eu/webcams/south-america/ecuador/27336-montanita-panorama-of-the-beach
south america;brazil;guarulhos traffic;30996;https://worldcam.eu/webcams/south-america/brazil/30996-guarulhos-traffic
south america;barbados;folkestone beach;19660;https://worldcam.eu/webcams/south-america/barbados/19660-folkestone-beach
south america;brazil;santa maria do herval calcadao;33657;https://worldcam.eu/webcams/south-america/brazil/33657-santa-maria-do-herval-calcadao
south america;argentina;tandil panoramic view;35118;https://worldcam.eu/webcams/south-america/argentina/35118-tandil-panoramic-view
south america;argentina;san rafael atuel river;33809;https://worldcam.eu/webcams/south-america/argentina/33809-san-rafael-atuel-river
