timestamp;event;ip;hostname
2025-06-18 05:20:26;LEAVE;192.168.1.34;Unknown
2025-06-18 05:20:26;LEAVE;192.168.1.206;Unknown
2025-06-18 05:20:28;JOIN;192.168.1.22;Unknown
2025-06-18 05:20:28;JOIN;192.168.1.34;Unknown
2025-06-18 05:20:28;JOIN;192.168.1.32;Unknown
2025-06-18 05:20:28;JOIN;192.168.1.37;Unknown
2025-06-18 05:20:28;LEAVE;192.168.1.31;Unknown
2025-06-18 05:20:30;JOIN;192.168.1.31;Unknown
2025-06-18 05:20:30;LEAVE;192.168.1.22;Unknown
2025-06-18 05:20:30;LEAVE;192.168.1.32;Unknown
2025-06-18 05:20:32;JOIN;192.168.1.49;Unknown
2025-06-18 05:20:32;JOIN;192.168.1.206;Unknown
2025-06-18 05:20:32;LEAVE;192.168.1.31;Unknown
2025-06-18 05:20:32;LEAVE;192.168.1.37;Unknown
2025-06-18 05:20:35;JOIN;192.168.1.22;Unknown
2025-06-18 05:20:35;JOIN;192.168.1.31;Unknown
2025-06-18 05:20:35;JOIN;192.168.1.37;Unknown
2025-06-18 05:20:35;LEAVE;192.168.1.49;Unknown
2025-06-18 05:20:37;LEAVE;192.168.1.22;Unknown
2025-06-18 05:20:37;LEAVE;192.168.1.37;Unknown
2025-06-18 05:20:37;LEAVE;192.168.1.35;Unknown
2025-06-18 05:20:37;LEAVE;192.168.1.31;Unknown
2025-06-18 05:20:39;JOIN;192.168.1.35;Unknown
2025-06-18 05:20:39;JOIN;192.168.1.37;Unknown
2025-06-18 05:20:39;JOIN;192.168.1.49;Unknown
2025-06-18 05:20:41;JOIN;192.168.1.22;Unknown
2025-06-18 05:20:41;JOIN;192.168.1.31;Unknown
2025-06-18 05:20:41;LEAVE;192.168.1.69;Unknown
2025-06-18 05:20:41;LEAVE;192.168.1.89;Unknown
